,Layername,Year,Area [ha],Percentage_of_Switerland
0,Paerke_ParkKernzone,1961,0.0,0.0
1,NationalparkGraubuenden_nationalpark,1961,16689.978617439483,0.4042625316080776
2,IANB_amphibLaichgebietUndWanderobjekteUnion,1961,0.0,0.0
3,Auengebiete_Auengebiete,1961,0.0,0.0
4,Flachmoore_flachmoor,1961,0.0,0.0
5,Hochmoore_hochmoor,1961,0.0,0.0
6,Trockenwiesenweiden_trockenwiesenweiden,1961,0.0,0.0
7,WasserZugvoegel_wasserzugvogel,1961,0.0,0.0
8,Jagdbanngebiete_jagdbann,1961,0.0,0.0
9,BLN_landschaftnaturdenkmal,1961,0.0,0.0
10,Moorlandschaften_moorlandschaft,1961,0.0,0.0
11,Smaragd_smaragd,1961,0.0,0.0
12,Ramsar_ramsar,1961,0.0,0.0
13,Biosphaerenreservate_biosphaerenreservat,1961,0.0,0.0
14,Unesco_unescoWorldNaturalHeritage,1961,0.0,0.0
15,RegionalePaerke_ParkPerimeter,1961,0.0,0.0
16,Paerke_ParkKernzone,1962,0.0,0.0
17,NationalparkGraubuenden_nationalpark,1962,16689.978617439483,0.4042625316080776
18,IANB_amphibLaichgebietUndWanderobjekteUnion,1962,0.0,0.0
19,Auengebiete_Auengebiete,1962,0.0,0.0
20,Flachmoore_flachmoor,1962,0.0,0.0
21,Hochmoore_hochmoor,1962,0.0,0.0
22,Trockenwiesenweiden_trockenwiesenweiden,1962,0.0,0.0
23,WasserZugvoegel_wasserzugvogel,1962,0.0,0.0
24,Jagdbanngebiete_jagdbann,1962,0.0,0.0
25,BLN_landschaftnaturdenkmal,1962,0.0,0.0
26,Moorlandschaften_moorlandschaft,1962,0.0,0.0
27,Smaragd_smaragd,1962,0.0,0.0
28,Ramsar_ramsar,1962,0.0,0.0
29,Biosphaerenreservate_biosphaerenreservat,1962,0.0,0.0
30,Unesco_unescoWorldNaturalHeritage,1962,0.0,0.0
31,RegionalePaerke_ParkPerimeter,1962,0.0,0.0
32,Paerke_ParkKernzone,1963,0.0,0.0
33,NationalparkGraubuenden_nationalpark,1963,16689.978617439483,0.4042625316080776
34,IANB_amphibLaichgebietUndWanderobjekteUnion,1963,0.0,0.0
35,Auengebiete_Auengebiete,1963,0.0,0.0
36,Flachmoore_flachmoor,1963,0.0,0.0
37,Hochmoore_hochmoor,1963,0.0,0.0
38,Trockenwiesenweiden_trockenwiesenweiden,1963,0.0,0.0
39,WasserZugvoegel_wasserzugvogel,1963,0.0,0.0
40,Jagdbanngebiete_jagdbann,1963,0.0,0.0
41,BLN_landschaftnaturdenkmal,1963,0.0,0.0
42,Moorlandschaften_moorlandschaft,1963,0.0,0.0
43,Smaragd_smaragd,1963,0.0,0.0
44,Ramsar_ramsar,1963,0.0,0.0
45,Biosphaerenreservate_biosphaerenreservat,1963,0.0,0.0
46,Unesco_unescoWorldNaturalHeritage,1963,0.0,0.0
47,RegionalePaerke_ParkPerimeter,1963,0.0,0.0
48,Paerke_ParkKernzone,1964,0.0,0.0
49,NationalparkGraubuenden_nationalpark,1964,16689.978617439483,0.4042625316080776
50,IANB_amphibLaichgebietUndWanderobjekteUnion,1964,0.0,0.0
51,Auengebiete_Auengebiete,1964,0.0,0.0
52,Flachmoore_flachmoor,1964,0.0,0.0
53,Hochmoore_hochmoor,1964,0.0,0.0
54,Trockenwiesenweiden_trockenwiesenweiden,1964,0.0,0.0
55,WasserZugvoegel_wasserzugvogel,1964,0.0,0.0
56,Jagdbanngebiete_jagdbann,1964,0.0,0.0
57,BLN_landschaftnaturdenkmal,1964,0.0,0.0
58,Moorlandschaften_moorlandschaft,1964,0.0,0.0
59,Smaragd_smaragd,1964,0.0,0.0
60,Ramsar_ramsar,1964,0.0,0.0
61,Biosphaerenreservate_biosphaerenreservat,1964,0.0,0.0
62,Unesco_unescoWorldNaturalHeritage,1964,0.0,0.0
63,RegionalePaerke_ParkPerimeter,1964,0.0,0.0
64,Paerke_ParkKernzone,1965,0.0,0.0
65,NationalparkGraubuenden_nationalpark,1965,16689.978617439483,0.4042625316080776
66,IANB_amphibLaichgebietUndWanderobjekteUnion,1965,0.0,0.0
67,Auengebiete_Auengebiete,1965,0.0,0.0
68,Flachmoore_flachmoor,1965,0.0,0.0
69,Hochmoore_hochmoor,1965,0.0,0.0
70,Trockenwiesenweiden_trockenwiesenweiden,1965,0.0,0.0
71,WasserZugvoegel_wasserzugvogel,1965,0.0,0.0
72,Jagdbanngebiete_jagdbann,1965,0.0,0.0
73,BLN_landschaftnaturdenkmal,1965,0.0,0.0
74,Moorlandschaften_moorlandschaft,1965,0.0,0.0
75,Smaragd_smaragd,1965,0.0,0.0
76,Ramsar_ramsar,1965,0.0,0.0
77,Biosphaerenreservate_biosphaerenreservat,1965,0.0,0.0
78,Unesco_unescoWorldNaturalHeritage,1965,0.0,0.0
79,RegionalePaerke_ParkPerimeter,1965,0.0,0.0
80,Paerke_ParkKernzone,1966,0.0,0.0
81,NationalparkGraubuenden_nationalpark,1966,16689.978617439483,0.4042625316080776
82,IANB_amphibLaichgebietUndWanderobjekteUnion,1966,0.0,0.0
83,Auengebiete_Auengebiete,1966,0.0,0.0
84,Flachmoore_flachmoor,1966,0.0,0.0
85,Hochmoore_hochmoor,1966,0.0,0.0
86,Trockenwiesenweiden_trockenwiesenweiden,1966,0.0,0.0
87,WasserZugvoegel_wasserzugvogel,1966,0.0,0.0
88,Jagdbanngebiete_jagdbann,1966,0.0,0.0
89,BLN_landschaftnaturdenkmal,1966,0.0,0.0
90,Moorlandschaften_moorlandschaft,1966,0.0,0.0
91,Smaragd_smaragd,1966,0.0,0.0
92,Ramsar_ramsar,1966,0.0,0.0
93,Biosphaerenreservate_biosphaerenreservat,1966,0.0,0.0
94,Unesco_unescoWorldNaturalHeritage,1966,0.0,0.0
95,RegionalePaerke_ParkPerimeter,1966,0.0,0.0
96,Paerke_ParkKernzone,1967,0.0,0.0
97,NationalparkGraubuenden_nationalpark,1967,16689.978617439483,0.4042625316080776
98,IANB_amphibLaichgebietUndWanderobjekteUnion,1967,0.0,0.0
99,Auengebiete_Auengebiete,1967,0.0,0.0
100,Flachmoore_flachmoor,1967,0.0,0.0
101,Hochmoore_hochmoor,1967,0.0,0.0
102,Trockenwiesenweiden_trockenwiesenweiden,1967,0.0,0.0
103,WasserZugvoegel_wasserzugvogel,1967,0.0,0.0
104,Jagdbanngebiete_jagdbann,1967,0.0,0.0
105,BLN_landschaftnaturdenkmal,1967,0.0,0.0
106,Moorlandschaften_moorlandschaft,1967,0.0,0.0
107,Smaragd_smaragd,1967,0.0,0.0
108,Ramsar_ramsar,1967,0.0,0.0
109,Biosphaerenreservate_biosphaerenreservat,1967,0.0,0.0
110,Unesco_unescoWorldNaturalHeritage,1967,0.0,0.0
111,RegionalePaerke_ParkPerimeter,1967,0.0,0.0
112,Paerke_ParkKernzone,1968,0.0,0.0
113,NationalparkGraubuenden_nationalpark,1968,16689.978617439483,0.4042625316080776
114,IANB_amphibLaichgebietUndWanderobjekteUnion,1968,0.0,0.0
115,Auengebiete_Auengebiete,1968,0.0,0.0
116,Flachmoore_flachmoor,1968,0.0,0.0
117,Hochmoore_hochmoor,1968,0.0,0.0
118,Trockenwiesenweiden_trockenwiesenweiden,1968,0.0,0.0
119,WasserZugvoegel_wasserzugvogel,1968,0.0,0.0
120,Jagdbanngebiete_jagdbann,1968,0.0,0.0
121,BLN_landschaftnaturdenkmal,1968,0.0,0.0
122,Moorlandschaften_moorlandschaft,1968,0.0,0.0
123,Smaragd_smaragd,1968,0.0,0.0
124,Ramsar_ramsar,1968,0.0,0.0
125,Biosphaerenreservate_biosphaerenreservat,1968,0.0,0.0
126,Unesco_unescoWorldNaturalHeritage,1968,0.0,0.0
127,RegionalePaerke_ParkPerimeter,1968,0.0,0.0
128,Paerke_ParkKernzone,1969,0.0,0.0
129,NationalparkGraubuenden_nationalpark,1969,16689.978617439483,0.4042625316080776
130,IANB_amphibLaichgebietUndWanderobjekteUnion,1969,0.0,0.0
131,Auengebiete_Auengebiete,1969,0.0,0.0
132,Flachmoore_flachmoor,1969,0.0,0.0
133,Hochmoore_hochmoor,1969,0.0,0.0
134,Trockenwiesenweiden_trockenwiesenweiden,1969,0.0,0.0
135,WasserZugvoegel_wasserzugvogel,1969,0.0,0.0
136,Jagdbanngebiete_jagdbann,1969,0.0,0.0
137,BLN_landschaftnaturdenkmal,1969,0.0,0.0
138,Moorlandschaften_moorlandschaft,1969,0.0,0.0
139,Smaragd_smaragd,1969,0.0,0.0
140,Ramsar_ramsar,1969,0.0,0.0
141,Biosphaerenreservate_biosphaerenreservat,1969,0.0,0.0
142,Unesco_unescoWorldNaturalHeritage,1969,0.0,0.0
143,RegionalePaerke_ParkPerimeter,1969,0.0,0.0
144,Paerke_ParkKernzone,1970,0.0,0.0
145,NationalparkGraubuenden_nationalpark,1970,16689.978617439483,0.4042625316080776
146,IANB_amphibLaichgebietUndWanderobjekteUnion,1970,0.0,0.0
147,Auengebiete_Auengebiete,1970,0.0,0.0
148,Flachmoore_flachmoor,1970,0.0,0.0
149,Hochmoore_hochmoor,1970,0.0,0.0
150,Trockenwiesenweiden_trockenwiesenweiden,1970,0.0,0.0
151,WasserZugvoegel_wasserzugvogel,1970,0.0,0.0
152,Jagdbanngebiete_jagdbann,1970,0.0,0.0
153,BLN_landschaftnaturdenkmal,1970,0.0,0.0
154,Moorlandschaften_moorlandschaft,1970,0.0,0.0
155,Smaragd_smaragd,1970,0.0,0.0
156,Ramsar_ramsar,1970,0.0,0.0
157,Biosphaerenreservate_biosphaerenreservat,1970,0.0,0.0
158,Unesco_unescoWorldNaturalHeritage,1970,0.0,0.0
159,RegionalePaerke_ParkPerimeter,1970,0.0,0.0
160,Paerke_ParkKernzone,1971,0.0,0.0
161,NationalparkGraubuenden_nationalpark,1971,16689.978617439483,0.4042625316080776
162,IANB_amphibLaichgebietUndWanderobjekteUnion,1971,0.0,0.0
163,Auengebiete_Auengebiete,1971,0.0,0.0
164,Flachmoore_flachmoor,1971,0.0,0.0
165,Hochmoore_hochmoor,1971,0.0,0.0
166,Trockenwiesenweiden_trockenwiesenweiden,1971,0.0,0.0
167,WasserZugvoegel_wasserzugvogel,1971,0.0,0.0
168,Jagdbanngebiete_jagdbann,1971,0.0,0.0
169,BLN_landschaftnaturdenkmal,1971,0.0,0.0
170,Moorlandschaften_moorlandschaft,1971,0.0,0.0
171,Smaragd_smaragd,1971,0.0,0.0
172,Ramsar_ramsar,1971,0.0,0.0
